iter	Passed	Remaining
0	0	215
1	0	202
2	1	191
3	1	186
4	2	180
5	2	180
6	3	176
7	3	176
8	3	174
9	4	173
10	4	171
11	5	170
12	5	169
13	5	169
14	6	168
15	6	167
16	7	166
17	7	166
18	7	165
19	8	164
20	8	163
21	9	163
22	9	164
23	9	164
24	10	165
25	10	164
26	11	164
27	11	163
28	12	163
29	12	162
30	12	161
31	13	161
32	13	160
33	14	160
34	14	159
35	14	158
36	15	158
37	15	157
38	16	157
39	16	156
40	16	156
41	17	155
42	17	155
43	18	155
44	18	155
45	19	154
46	19	154
47	20	154
48	20	154
49	20	154
50	21	154
51	21	154
52	22	154
53	22	154
54	23	154
55	23	154
56	24	154
57	24	154
58	25	154
59	25	153
60	26	153
61	26	152
62	26	151
63	27	151
64	27	150
65	28	150
66	28	149
67	28	148
68	29	148
69	29	148
70	30	147
71	30	146
72	30	146
73	31	145
74	31	145
75	32	145
76	32	145
77	33	145
78	33	145
79	34	145
80	34	144
81	35	144
82	35	144
83	36	144
84	36	143
85	37	143
86	37	142
87	37	142
88	38	141
89	38	141
90	39	141
91	39	141
92	40	140
93	40	140
94	40	139
95	41	139
96	41	138
97	42	138
98	42	137
99	43	137
100	43	136
101	43	136
102	44	135
103	44	135
104	45	134
105	45	134
106	46	134
107	46	134
108	46	133
109	47	133
110	47	132
111	48	132
112	48	131
113	49	131
114	49	130
115	49	130
116	50	129
117	50	129
118	51	129
119	51	128
120	52	128
121	52	127
122	52	127
123	53	126
124	53	126
125	54	126
126	54	126
127	55	125
128	55	125
129	56	124
130	56	124
131	57	123
132	57	123
133	57	123
134	58	122
135	58	122
136	59	121
137	59	121
138	60	121
139	60	120
140	60	120
141	61	119
142	61	119
143	62	118
144	62	118
145	63	118
146	63	117
147	63	117
148	64	116
149	64	116
150	65	115
151	65	115
152	66	115
153	66	114
154	67	114
155	67	113
156	67	113
157	68	112
158	68	112
159	69	112
160	69	111
161	70	111
162	70	110
163	71	110
164	71	109
165	71	109
166	72	109
167	72	108
168	73	108
169	73	107
170	74	107
171	74	107
172	75	107
173	75	106
174	76	106
175	76	106
176	77	105
177	77	105
178	78	105
179	78	104
180	79	104
181	79	104
182	80	103
183	80	103
184	81	102
185	81	102
186	82	102
187	82	101
188	83	101
189	83	101
190	84	100
191	84	100
192	85	99
193	85	99
194	86	98
195	86	98
196	86	97
197	87	97
198	87	97
199	88	96
200	88	96
201	89	95
202	89	95
203	90	95
204	91	94
205	91	94
206	92	94
207	92	93
208	93	93
209	93	93
210	94	92
211	94	92
212	95	92
213	95	91
214	96	91
215	96	90
216	97	90
217	97	90
218	98	89
219	98	89
220	99	88
221	99	88
222	100	88
223	100	87
224	101	87
225	102	87
226	102	87
227	103	86
228	104	86
229	105	86
230	105	86
231	106	85
232	107	85
233	107	85
234	108	84
235	108	84
236	109	83
237	109	83
238	110	83
239	110	82
240	111	82
241	112	82
242	112	81
243	113	81
244	113	80
245	114	80
246	115	80
247	115	79
248	116	79
249	116	78
250	117	78
251	117	78
252	118	77
253	118	77
254	119	76
255	119	76
256	120	75
257	120	75
258	121	75
259	121	74
260	122	74
261	122	73
262	123	73
263	124	72
264	124	72
265	125	71
266	125	71
267	126	71
268	126	70
269	127	70
270	127	69
271	128	69
272	128	68
273	129	68
274	129	68
275	130	67
276	130	67
277	131	66
278	132	66
279	132	65
280	133	65
281	133	65
282	134	64
283	134	64
284	135	63
285	136	63
286	136	62
287	137	62
288	137	61
289	138	61
290	138	61
291	139	60
292	139	60
293	140	59
294	140	59
295	141	58
296	141	58
297	142	57
298	143	57
299	144	57
300	144	56
301	145	56
302	145	55
303	146	55
304	146	54
305	147	54
306	147	53
307	148	53
308	148	52
309	149	52
310	149	52
311	150	51
312	150	51
313	151	50
314	151	50
315	152	49
316	152	49
317	153	48
318	154	48
319	154	47
320	155	47
321	155	46
322	156	46
323	156	45
324	157	45
325	157	45
326	158	44
327	158	44
328	159	43
329	159	43
330	160	42
331	161	42
332	161	41
333	162	41
334	162	40
335	163	40
336	163	39
337	164	39
338	164	38
339	165	38
340	165	37
341	166	37
342	166	36
343	167	36
344	167	35
345	168	35
346	168	35
347	169	34
348	169	34
349	170	33
350	171	33
351	171	32
352	172	32
353	172	31
354	173	31
355	173	30
356	174	30
357	175	29
358	175	29
359	176	28
360	176	28
361	177	27
362	177	27
363	178	26
364	178	26
365	179	25
366	179	25
367	180	25
368	181	24
369	181	24
370	182	23
371	182	23
372	183	22
373	183	22
374	184	21
375	184	21
376	185	20
377	186	20
378	186	19
379	187	19
380	187	18
381	188	18
382	188	17
383	189	17
384	190	16
385	190	16
386	191	15
387	191	15
388	192	14
389	192	14
390	193	13
391	194	13
392	194	12
393	195	12
394	195	11
395	196	11
396	196	10
397	197	10
398	197	9
399	198	9
400	199	8
401	199	8
402	200	7
403	200	7
404	201	6
405	201	6
406	202	5
407	202	5
408	203	4
409	204	4
410	204	3
411	205	3
412	205	2
413	206	2
414	206	1
415	207	1
416	207	0
417	208	0
418	209	0
