R2,RMSE,MAE,Model,Split
0.9943,0.0168,0.0133,PINN_PI-HySPAC,IID
0.993,0.0186,0.0153,CatBoost,IID
0.9911,0.0211,0.0166,GBM,IID
0.9849,0.0275,0.0222,XGBoost,IID
0.9782,0.033,0.0225,AdaBoost,IID
0.9853,0.0244,0.0197,AdaBoost,OOD_alclay_max_group
0.9794,0.0289,0.022,GBM,OOD_alclay_max_group
0.9703,0.0346,0.0271,CatBoost,OOD_alclay_max_group
0.97,0.0348,0.0265,XGBoost,OOD_alclay_max_group
0.8527,0.0771,0.0655,PINN_PI-HySPAC,OOD_alclay_max_group
0.9583,0.0277,0.0224,PINN_PI-HySPAC,OOD_pressure_high
0.9171,0.0391,0.0345,CatBoost,OOD_pressure_high
0.7976,0.061,0.0474,XGBoost,OOD_pressure_high
0.7623,0.0662,0.0494,AdaBoost,OOD_pressure_high
0.5742,0.0885,0.0784,GBM,OOD_pressure_high
0.7996,0.0258,0.0208,PINN_PI-HySPAC,OOD_pressure_low
-0.3259,0.0663,0.059,GBM,OOD_pressure_low
-0.8171,0.0776,0.0671,CatBoost,OOD_pressure_low
-0.8902,0.0791,0.0694,XGBoost,OOD_pressure_low
-0.9411,0.0802,0.0694,AdaBoost,OOD_pressure_low
-0.5533,0.1425,0.1298,PINN_PI-HySPAC,OOD_temp_max_group
-0.7005,0.1491,0.1316,XGBoost,OOD_temp_max_group
-0.7145,0.1497,0.1315,GBM,OOD_temp_max_group
-0.7429,0.1509,0.1338,AdaBoost,OOD_temp_max_group
-0.8802,0.1567,0.137,CatBoost,OOD_temp_max_group
