iter	Passed	Remaining
0	0	302
1	1	282
2	2	277
3	2	268
4	3	260
5	3	254
6	4	252
7	4	251
8	5	247
9	5	239
10	6	239
11	6	236
12	7	235
13	8	235
14	8	234
15	9	232
16	9	229
17	10	227
18	10	225
19	11	223
20	11	221
21	12	219
22	12	218
23	13	216
24	13	215
25	14	214
26	14	212
27	15	210
28	15	211
29	16	210
30	16	209
31	17	208
32	17	207
33	18	206
34	18	205
35	19	204
36	19	203
37	20	202
38	20	201
39	21	200
40	21	199
41	22	198
42	22	198
43	23	197
44	23	196
45	24	195
46	24	195
47	25	194
48	25	193
49	26	192
50	26	192
51	27	191
52	27	190
53	28	190
54	28	190
55	29	189
56	29	188
57	30	188
58	30	188
59	31	187
60	31	186
61	32	185
62	32	185
63	33	184
64	33	183
65	34	182
66	34	181
67	35	181
68	35	180
69	36	179
70	36	179
71	37	178
72	37	177
73	38	177
74	38	176
75	39	176
76	39	175
77	40	175
78	40	174
79	41	174
80	41	173
81	42	173
82	42	172
83	43	172
84	43	171
85	44	171
86	44	170
87	45	170
88	45	170
89	46	169
90	46	168
91	47	168
92	47	167
93	48	167
94	48	166
95	49	165
96	49	165
97	50	164
98	50	164
99	51	163
100	51	162
101	52	162
102	52	161
103	53	161
104	53	160
105	54	159
106	54	159
107	55	158
108	55	158
109	56	157
110	56	157
111	57	157
112	57	156
113	58	156
114	59	156
115	59	155
116	60	155
117	60	155
118	61	154
119	61	154
120	62	154
121	63	153
122	63	153
123	64	152
124	64	152
125	65	151
126	65	151
127	66	150
128	66	150
129	67	149
130	67	149
131	68	148
132	68	147
133	69	147
134	69	146
135	70	146
136	70	145
137	71	145
138	71	144
139	72	144
140	72	143
141	73	143
142	73	142
143	74	141
144	74	141
145	75	141
146	76	140
147	76	140
148	76	139
149	77	138
150	77	138
151	78	137
152	78	137
153	79	136
154	80	136
155	80	135
156	80	135
157	81	134
158	81	134
159	82	133
160	82	132
161	83	132
162	84	132
163	84	131
164	85	130
165	85	130
166	86	129
167	86	129
168	86	128
169	87	128
170	87	127
171	88	126
172	88	126
173	89	125
174	90	125
175	90	124
176	90	124
177	91	123
178	91	123
179	92	122
180	92	122
181	93	121
182	93	121
183	94	120
184	94	119
185	95	119
186	95	118
187	96	118
188	96	117
189	97	117
190	97	116
191	98	116
192	98	115
193	99	114
194	99	114
195	100	113
196	100	113
197	100	112
198	101	112
199	101	111
200	102	111
201	102	110
202	103	109
203	103	109
204	104	108
205	104	108
206	105	107
207	105	107
208	106	106
209	106	106
210	107	105
211	107	105
212	108	104
213	108	104
214	109	103
215	109	103
216	110	102
217	110	101
218	110	101
219	111	100
220	112	100
221	112	99
222	112	99
223	113	98
224	113	98
225	114	97
226	114	97
227	115	96
228	115	96
229	116	95
230	116	94
231	117	94
232	117	93
233	118	93
234	118	92
235	119	92
236	119	91
237	120	91
238	120	90
239	121	90
240	121	89
241	121	89
242	122	88
243	122	88
244	123	87
245	123	87
246	124	86
247	124	85
248	125	85
249	125	84
250	126	84
251	126	83
252	127	83
253	127	82
254	127	82
255	128	81
256	128	81
257	129	80
258	129	80
259	130	79
260	130	79
261	131	78
262	131	78
263	132	77
264	132	77
265	133	76
266	133	76
267	134	75
268	134	75
269	135	74
270	135	74
271	136	73
272	136	73
273	137	72
274	137	72
275	137	71
276	138	70
277	138	70
278	139	69
279	139	69
280	140	68
281	140	68
282	141	67
283	141	67
284	142	66
285	142	66
286	143	65
287	143	65
288	144	64
289	144	64
290	145	63
291	145	63
292	146	62
293	146	62
294	147	61
295	147	61
296	148	60
297	148	60
298	149	59
299	149	59
300	150	58
301	150	58
302	151	57
303	151	57
304	152	56
305	152	56
306	153	55
307	153	55
308	154	54
309	154	54
310	155	53
311	155	53
312	156	52
313	156	52
314	157	51
315	157	51
316	157	50
317	158	50
318	158	49
319	159	49
320	159	48
321	160	48
322	160	47
323	161	47
324	161	46
325	162	46
326	162	45
327	163	45
328	164	44
329	164	44
330	164	43
331	165	43
332	165	42
333	166	42
334	167	41
335	167	41
336	168	40
337	168	40
338	169	39
339	169	39
340	169	38
341	170	38
342	170	37
343	171	37
344	171	36
345	172	36
346	172	35
347	173	35
348	173	34
349	174	34
350	174	33
351	175	33
352	175	32
353	176	32
354	176	31
355	177	31
356	177	30
357	178	30
358	178	29
359	179	29
360	179	28
361	180	28
362	180	27
363	181	27
364	181	26
365	182	26
366	182	25
367	183	25
368	183	24
369	184	24
370	184	23
371	185	23
372	185	22
373	186	22
374	186	21
375	187	21
376	187	20
377	188	20
378	188	19
379	189	19
380	189	18
381	190	18
382	190	17
383	191	17
384	191	16
385	192	16
386	192	15
387	193	15
388	193	14
389	194	14
390	194	13
391	195	13
392	195	12
393	196	12
394	196	11
395	197	11
396	197	10
397	198	10
398	198	9
399	199	9
400	199	8
401	200	8
402	200	7
403	201	7
404	201	6
405	202	6
406	202	5
407	203	5
408	203	4
409	204	4
410	204	3
411	205	3
412	205	2
413	206	2
414	206	1
415	207	1
416	207	0
417	208	0
418	208	0
