,Count,Min,Q1 (25th),Median,Q3 (75th),Max,Mean,Std,Skewness,CoV,Missing,Missing (%),Unique
P,191.0,0.61,5.888,12.977,33.967,68.702,21.349,19.469,0.916,0.912,0,0.0,190
T,191.0,473.0,473.0,623.0,773.0,773.0,613.576,121.786,0.116,0.198,0,0.0,3
Al/clay,191.0,10.0,10.0,30.0,90.0,150.0,68.115,53.75,0.404,0.789,0,0.0,4
inv_T,191.0,0.001,0.001,0.002,0.002,0.002,0.002,0.0,0.175,0.2,0,0.0,3
log1p_P,191.0,0.476,1.93,2.637,3.554,4.244,2.657,1.026,-0.257,0.386,0,0.0,190
P_over_T,191.0,0.001,0.009,0.021,0.057,0.142,0.037,0.036,1.191,0.982,0,0.0,190
P_sat_10,191.0,0.057,0.371,0.565,0.773,0.873,0.55,0.24,-0.387,0.437,0,0.0,190
log1p_A,191.0,2.398,2.398,3.434,4.511,5.017,3.812,1.012,-0.262,0.265,0,0.0,4
P_over_A,191.0,0.006,0.096,0.293,0.907,6.722,0.816,1.318,2.676,1.615,0,0.0,191
A_over_T,191.0,0.013,0.021,0.063,0.19,0.317,0.116,0.096,0.672,0.833,0,0.0,12
P_times_invT,191.0,0.001,0.009,0.021,0.057,0.142,0.037,0.036,1.191,0.982,0,0.0,190
P_times_logA,191.0,1.462,21.404,49.363,126.316,338.691,81.645,79.679,1.242,0.976,0,0.0,191
A_over_1plusP,191.0,0.147,1.029,3.121,8.87,81.396,7.667,12.079,3.291,1.575,0,0.0,191
Hydrogen_Capacity,191.0,0.027,0.187,0.319,0.531,0.871,0.357,0.204,0.421,0.573,0,0.0,190
