Model,Feature,MeanAbsSHAP
AdaBoost,P_over_T,0.06785259816716857
AdaBoost,P_times_invT,0.05771283339049763
AdaBoost,inv_T,0.022771770262985155
AdaBoost,T,0.020923012389684126
AdaBoost,P_over_A,0.012944327042374816
AdaBoost,A_over_1plusP,0.012926654840711253
AdaBoost,A_over_T,0.002168890616215983
AdaBoost,P_times_logA,0.0020924319276575325
AdaBoost,P_sat_10,0.00171867026337381
AdaBoost,log1p_P,0.0017008768231501293
AdaBoost,P,0.0015367232920997702
AdaBoost,Al/clay,0.0011338170196681736
AdaBoost,log1p_A,0.0010019699703265566
GBM,P_times_invT,0.09720613019445515
GBM,P_over_T,0.03738639491223958
GBM,T,0.029348022797323178
GBM,inv_T,0.02620135248217289
GBM,P_over_A,0.01445646706009991
GBM,A_over_1plusP,0.012959836166392517
GBM,A_over_T,0.0062139970283123375
GBM,log1p_P,0.002561306070238857
GBM,P_times_logA,0.002528042365477723
GBM,P_sat_10,0.0021320260094338257
GBM,Al/clay,0.001197306591826635
GBM,P,0.0008907100143992091
GBM,log1p_A,0.0005700270930937862
CatBoost,P_times_invT,0.03979631925105095
CatBoost,T,0.03333265988147736
CatBoost,inv_T,0.030827907838102495
CatBoost,A_over_1plusP,0.02655510079138789
CatBoost,P_over_T,0.022983665427616172
CatBoost,log1p_P,0.01919269843402403
CatBoost,P,0.017702559657833156
CatBoost,P_sat_10,0.017036128850287515
CatBoost,log1p_A,0.008968870386087424
CatBoost,P_over_A,0.008052592947777453
CatBoost,A_over_T,0.007194638847477653
CatBoost,P_times_logA,0.005823336274490902
CatBoost,Al/clay,0.005582730527768775
XGBoost,P_over_T,0.07368513196706772
XGBoost,P_times_invT,0.04440243914723396
XGBoost,T,0.040660593658685684
XGBoost,P_over_A,0.018550783395767212
XGBoost,inv_T,0.010713187046349049
XGBoost,A_over_1plusP,0.00836654007434845
XGBoost,P,0.006692869588732719
XGBoost,Al/clay,0.0056556290946900845
XGBoost,A_over_T,0.004794831853359938
XGBoost,P_times_logA,0.004153344314545393
XGBoost,log1p_A,0.0026112596970051527
XGBoost,log1p_P,0.002299439162015915
XGBoost,P_sat_10,0.001333223539404571
